State,Date,Cumulative case count,Cumulative recovered count
SA,2020-01-23,0,0
VIC,2020-01-25,1,0
NSW,2020-01-25,3,0
NSW,2020-01-27,4,0
QLD,2020-01-28,0,0
SA,2020-01-29,0,0
QLD,2020-01-29,1,0
VIC,2020-01-29,2,0
QLD,2020-01-30,2,0
VIC,2020-01-30,3,0
NSW,2020-01-30,4,0
SA,2020-01-31,0,0
NSW,2020-01-31,4,0
SA,2020-02-01,0,0
NSW,2020-02-01,4,0
VIC,2020-02-01,4,0
SA,2020-02-02,2,0
NSW,2020-02-02,4,0
SA,2020-02-03,2,0
NSW,2020-02-03,4,0
SA,2020-02-04,2,0
QLD,2020-02-04,3,0
NSW,2020-02-04,4,0
NSW,2020-02-05,4,0
QLD,2020-02-05,4,0
NSW,2020-02-06,4,0
QLD,2020-02-06,5,0
NSW,2020-02-07,4,0
NSW,2020-02-08,4,0
NSW,2020-02-09,4,0
NSW,2020-02-10,4,0
NSW,2020-02-11,4,0
NSW,2020-02-12,4,0
NSW,2020-02-13,4,0
NSW,2020-02-14,4,0
NSW,2020-02-16,4,0
NSW,2020-02-17,4,0
NSW,2020-02-18,4,0
NSW,2020-02-19,4,0
SA,2020-02-20,2,0
NSW,2020-02-20,4,0
WA,2020-02-21,1,0
NSW,2020-02-21,4,0
NSW,2020-02-22,4,0
QLD,2020-02-22,7,0
NSW,2020-02-23,4,0
SA,2020-02-24,3,0
NSW,2020-02-24,4,0
NSW,2020-02-25,4,0
QLD,2020-02-25,8,0
NSW,2020-02-26,4,0
WA,2020-02-28,2,0
QLD,2020-02-29,9,0
NSW,2020-03-01,5,0
NSW,2020-03-01,6,0
VIC,2020-03-01,9,0
WA,2020-03-01,0,0
SA,2020-03-03,3,0
NSW,2020-03-03,9,0
QLD,2020-03-03,10,0
NSW,2020-03-03,15,0
NSW,2020-03-03,0,0
SA,2020-03-04,5,0
VIC,2020-03-04,10,0
QLD,2020-03-04,11,0
NSW,2020-03-04,16,0
NSW,2020-03-04,22,0
WA,2020-03-05,3,0
SA,2020-03-05,7,0
QLD,2020-03-05,13,0
NSW,2020-03-05,22,0
NSW,2020-03-05,25,0
TAS,2020-03-06,1,0
SA,2020-03-06,7,0
QLD,2020-03-06,14,0
NSW,2020-03-06,28,0
VIC,2020-03-07,11,0
NSW,2020-03-07,34,0
NSW,2020-03-07,36,0
TAS,2020-03-08,2,0
WA,2020-03-08,4,0
VIC,2020-03-08,12,0
QLD,2020-03-08,15,0
NSW,2020-03-08,38,0
NSW,2020-03-08,40,0
TAS,2020-03-09,2,0
WA,2020-03-09,6,0
VIC,2020-03-09,15,0
NSW,2020-03-09,47,0
SA,2020-03-10,7,0
QLD,2020-03-10,18,0
VIC,2020-03-10,18,0
NSW,2020-03-10,55,0
NSW,2020-03-10,61,0
TAS,2020-03-11,3,0
SA,2020-03-11,9,0
WA,2020-03-11,9,0
QLD,2020-03-11,20,0
VIC,2020-03-11,21,0
NSW,2020-03-11,65,0
ACT,2020-03-12,1,0
TAS,2020-03-12,3,0
SA,2020-03-12,12,0
QLD,2020-03-12,27,0
VIC,2020-03-12,27,0
NSW,2020-03-12,78,0
ACT,2020-03-13,1,0
TAS,2020-03-13,4,0
WA,2020-03-13,14,0
SA,2020-03-13,16,0
QLD,2020-03-13,35,0
VIC,2020-03-13,36,0
NSW,2020-03-13,92,0
ACT,2020-03-14,1,0
TAS,2020-03-14,5,0
SA,2020-03-14,19,0
QLD,2020-03-14,46,0
VIC,2020-03-14,49,0
NSW,2020-03-14,112,0
NT,2020-03-15,0,0
TAS,2020-03-15,6,0
