Country,Date,Active cases,Confirmed cases,Recovered cases,Deaths
"Iran, Islamic Republic of",2020-01-22,0,0,0,0
"Iran, Islamic Republic of",2020-01-23,0,0,0,0
"Iran, Islamic Republic of",2020-01-24,0,0,0,0
"Iran, Islamic Republic of",2020-01-25,0,0,0,0
"Iran, Islamic Republic of",2020-01-26,0,0,0,0
"Iran, Islamic Republic of",2020-01-27,0,0,0,0
"Iran, Islamic Republic of",2020-01-28,0,0,0,0
"Iran, Islamic Republic of",2020-01-29,0,0,0,0
"Iran, Islamic Republic of",2020-01-30,0,0,0,0
"Iran, Islamic Republic of",2020-01-31,0,0,0,0
"Iran, Islamic Republic of",2020-02-01,0,0,0,0
"Iran, Islamic Republic of",2020-02-02,0,0,0,0
"Iran, Islamic Republic of",2020-02-03,0,0,0,0
"Iran, Islamic Republic of",2020-02-04,0,0,0,0
"Iran, Islamic Republic of",2020-02-05,0,0,0,0
"Iran, Islamic Republic of",2020-02-06,0,0,0,0
"Iran, Islamic Republic of",2020-02-07,0,0,0,0
"Iran, Islamic Republic of",2020-02-08,0,0,0,0
"Iran, Islamic Republic of",2020-02-09,0,0,0,0
"Iran, Islamic Republic of",2020-02-10,0,0,0,0
"Iran, Islamic Republic of",2020-02-11,0,0,0,0
"Iran, Islamic Republic of",2020-02-12,0,0,0,0
"Iran, Islamic Republic of",2020-02-13,0,0,0,0
"Iran, Islamic Republic of",2020-02-14,0,0,0,0
"Iran, Islamic Republic of",2020-02-15,0,0,0,0
"Iran, Islamic Republic of",2020-02-16,0,0,0,0
"Iran, Islamic Republic of",2020-02-17,0,0,0,0
"Iran, Islamic Republic of",2020-02-18,0,0,0,0
"Iran, Islamic Republic of",2020-02-19,0,2,0,2
"Iran, Islamic Republic of",2020-02-20,3,5,0,2
"Iran, Islamic Republic of",2020-02-21,14,18,0,4
"Iran, Islamic Republic of",2020-02-22,23,28,0,5
"Iran, Islamic Republic of",2020-02-23,35,43,0,8
"Iran, Islamic Republic of",2020-02-24,49,61,0,12
"Iran, Islamic Republic of",2020-02-25,79,95,0,16
"Iran, Islamic Republic of",2020-02-26,71,139,49,19
"Iran, Islamic Republic of",2020-02-27,170,245,49,26
"Iran, Islamic Republic of",2020-02-28,281,388,73,34
"Iran, Islamic Republic of",2020-02-29,427,593,123,43
"Iran, Islamic Republic of",2020-03-01,749,978,175,54
"Iran, Islamic Republic of",2020-03-02,1144,1501,291,66
"Iran, Islamic Republic of",2020-03-03,1968,2336,291,77
"Iran, Islamic Republic of",2020-03-04,2278,2922,552,92
"Iran, Islamic Republic of",2020-03-05,2667,3513,739,107
"Iran, Islamic Republic of",2020-03-06,3710,4747,913,124
"Iran, Islamic Republic of",2020-03-07,4009,5823,1669,145
"Iran, Islamic Republic of",2020-03-08,4238,6566,2134,194
"Iran, Islamic Republic of",2020-03-09,4530,7161,2394,237
"Iran, Islamic Republic of",2020-03-10,5020,8042,2731,291
"Iran, Islamic Republic of",2020-03-11,5687,9000,2959,354
"Iran, Islamic Republic of",2020-03-12,6687,10075,2959,429
"Iran, Islamic Republic of",2020-03-13,7891,11364,2959,514
"Iran, Islamic Republic of",2020-03-14,9159,12729,2959,611
"Iran, Islamic Republic of",2020-03-15,8624,13938,4590,724
"Iran, Islamic Republic of",2020-03-16,9548,14991,4590,853
"Iran, Islamic Republic of",2020-03-17,9792,16169,5389,988
"Iran, Islamic Republic of",2020-03-18,10837,17361,5389,1135
"Iran, Islamic Republic of",2020-03-19,11413,18407,5710,1284
"Iran, Islamic Republic of",2020-03-20,11466,19644,6745,1433
"Iran, Islamic Republic of",2020-03-21,11419,20610,7635,1556
"Iran, Islamic Republic of",2020-03-22,12022,21638,7931,1685
"Iran, Islamic Republic of",2020-03-23,13306,23049,7931,1812
"Iran, Islamic Republic of",2020-03-24,13964,24811,8913,1934
"Iran, Islamic Republic of",2020-03-25,15315,27017,9625,2077
"Iran, Islamic Republic of",2020-03-26,16715,29406,10457,2234
"Iran, Islamic Republic of",2020-03-27,18821,32332,11133,2378
"Iran, Islamic Republic of",2020-03-28,21212,35408,11679,2517
"Iran, Islamic Republic of",2020-03-29,23278,38309,12391,2640
"Iran, Islamic Republic of",2020-03-30,24827,41495,13911,2757
"Iran, Islamic Republic of",2020-03-31,27051,44605,14656,2898
"Iran, Islamic Republic of",2020-04-01,29084,47593,15473,3036
"Iran, Islamic Republic of",2020-04-02,30597,50468,16711,3160
"Iran, Islamic Republic of",2020-04-03,31954,53183,17935,3294
"Iran, Islamic Republic of",2020-04-04,32555,55743,19736,3452
"Iran, Islamic Republic of",2020-04-05,34887,58226,19736,3603
"Iran, Islamic Republic of",2020-04-06,32525,60500,24236,3739
"Iran, Islamic Republic of",2020-04-07,31678,62589,27039,3872
"Iran, Islamic Republic of",2020-04-08,30781,64586,29812,3993
"Iran, Islamic Republic of",2020-04-09,29801,66220,32309,4110
"Iran, Islamic Republic of",2020-04-10,28495,68192,35465,4232
"Iran, Islamic Republic of",2020-04-11,23725,70029,41947,4357
"Iran, Islamic Republic of",2020-04-12,23318,71686,43894,4474
"Iran, Islamic Republic of",2020-04-13,22735,73303,45983,4585
"Iran, Islamic Republic of",2020-04-14,22065,74877,48129,4683
"Iran, Islamic Republic of",2020-04-15,21679,76389,49933,4777
"Iran, Islamic Republic of",2020-04-16,20897,77995,52229,4869
"Iran, Islamic Republic of",2020-04-17,20472,79494,54064,4958
"Iran, Islamic Republic of",2020-04-18,19850,80868,55987,5031
"Iran, Islamic Republic of",2020-04-19,20070,82211,57023,5118
"Iran, Islamic Republic of",2020-04-20,19023,83505,59273,5209
"Iran, Islamic Republic of",2020-04-21,18540,84802,60965,5297
"Iran, Islamic Republic of",2020-04-22,17492,85996,63113,5391
"Iran, Islamic Republic of",2020-04-23,16702,87026,64843,5481
"Iran, Islamic Republic of",2020-04-24,16021,88194,66599,5574
"Iran, Islamic Republic of",2020-04-25,15485,89328,68193,5650
"Iran, Islamic Republic of",2020-04-26,15114,90481,69657,5710
"Iran, Islamic Republic of",2020-04-27,14733,91472,70933,5806
"Iran, Islamic Republic of",2020-04-28,14268,92584,72439,5877
"Iran, Islamic Republic of",2020-04-29,13909,93657,73791,5957
"Iran, Islamic Republic of",2020-04-30,13509,94640,75103,6028
"Iran, Islamic Republic of",2020-05-01,13237,95646,76318,6091
"Iran, Islamic Republic of",2020-05-02,12942,96448,77350,6156
"Iran, Islamic Republic of",2020-05-03,12799,97424,78422,6203
"Iran, Islamic Republic of",2020-05-04,12991,98647,79379,6277
"Iran, Islamic Republic of",2020-05-05,13155,99970,80475,6340
"Iran, Islamic Republic of",2020-05-06,13645,101650,81587,6418
"Iran, Islamic Republic of",2020-05-07,13905,103135,82744,6486
"Iran, Islamic Republic of",2020-05-08,14313,104691,83837,6541
"Iran, Islamic Republic of",2020-05-09,14567,106220,85064,6589
"Iran, Islamic Republic of",2020-05-10,14820,107603,86143,6640
"Iran, Islamic Republic of",2020-05-11,15179,109286,87422,6685
"Iran, Islamic Republic of",2020-05-12,15677,110767,88357,6733
"Iran, Islamic Republic of",2020-05-13,16514,112725,89428,6783
"Iran, Islamic Republic of",2020-05-14,17140,114533,90539,6854
"Iran, Islamic Republic of",2020-05-15,17897,116635,91836,6902
"Iran, Islamic Republic of",2020-05-16,18308,118392,93147,6937
"Iran, Islamic Republic of",2020-05-17,18746,120198,94464,6988
"Iran, Islamic Republic of",2020-05-18,19774,122492,95661,7057
"Iran, Islamic Republic of",2020-05-19,20311,124603,97173,7119
"Iran, Islamic Republic of",2020-05-20,20958,126949,98808,7183
"Iran, Islamic Republic of",2020-05-21,21528,129341,100564,7249
"Iran, Islamic Republic of",2020-05-22,22076,131652,102276,7300
"Iran, Islamic Republic of",2020-05-23,22090,133521,104072,7359
"Iran, Islamic Republic of",2020-05-24,22483,135701,105801,7417
"Iran, Islamic Republic of",2020-05-25,22560,137724,107713,7451
"Iran, Islamic Republic of",2020-05-26,22566,139511,109437,7508
"Iran, Islamic Republic of",2020-05-27,22851,141591,111176,7564
"Iran, Islamic Republic of",2020-05-28,23234,143849,112988,7627
"Iran, Islamic Republic of",2020-05-29,24060,146668,114931,7677
"Iran, Islamic Republic of",2020-05-30,24389,148950,116827,7734
"Iran, Islamic Republic of",2020-05-31,24821,151466,118848,7797
"Iran, Islamic Republic of",2020-06-01,25563,154445,121004,7878
"Iran, Islamic Republic of",2020-06-02,26543,157562,123077,7942
"Iran, Islamic Republic of",2020-06-03,27478,160696,125206,8012
"Iran, Islamic Republic of",2020-06-04,28714,164270,127485,8071
"Iran, Islamic Republic of",2020-06-05,29281,167156,129741,8134
"Iran, Islamic Republic of",2020-06-06,29178,169425,132038,8209
"Iran, Islamic Republic of",2020-06-07,29159,171789,134349,8281
"Iran, Islamic Republic of",2020-06-08,29121,173832,136360,8351
"Iran, Islamic Republic of",2020-06-09,29045,175927,138457,8425
"Iran, Islamic Republic of",2020-06-10,28842,177938,140590,8506
"Iran, Islamic Republic of",2020-06-11,28909,180156,142663,8584
"Iran, Islamic Republic of",2020-06-12,29217,182525,144649,8659
"Iran, Islamic Republic of",2020-06-13,29477,184955,146748,8730
"Iran, Islamic Republic of",2020-06-14,29916,187427,148674,8837
"Iran, Islamic Republic of",2020-06-15,30336,189876,150590,8950
"Iran, Islamic Republic of",2020-06-16,30699,192439,152675,9065
"Iran, Islamic Republic of",2020-06-17,31054,195051,154812,9185
"Iran, Islamic Republic of",2020-06-18,31384,197647,156991,9272
"Iran, Islamic Republic of",2020-06-19,31678,200262,159192,9392
"Iran, Islamic Republic of",2020-06-20,31693,202584,161384,9507
"Iran, Islamic Republic of",2020-06-21,31738,204952,163591,9623
"Iran, Islamic Republic of",2020-06-22,31356,207525,166427,9742
"Iran, Islamic Republic of",2020-06-23,30947,209970,169160,9863
"Iran, Islamic Republic of",2020-06-24,30409,212501,172096,9996
"Iran, Islamic Republic of",2020-06-25,29863,215096,175103,10130
"Iran, Islamic Republic of",2020-06-26,29633,217724,177852,10239
"Iran, Islamic Republic of",2020-06-27,29155,220180,180661,10364
"Iran, Islamic Republic of",2020-06-28,28851,222669,183310,10508
"Iran, Islamic Republic of",2020-06-29,28355,225205,186180,10670
"Iran, Islamic Republic of",2020-06-30,28087,227662,188758,10817
"Iran, Islamic Republic of",2020-07-01,27766,230211,191487,10958
"Iran, Islamic Republic of",2020-07-02,27659,232863,194098,11106
"Iran, Islamic Republic of",2020-07-03,27723,235429,196446,11260
"Iran, Islamic Republic of",2020-07-04,27521,237878,198949,11408
"Iran, Islamic Republic of",2020-07-05,27537,240438,201330,11571
"Iran, Islamic Republic of",2020-07-06,27237,243051,204083,11731
Tajikistan,2020-01-22,0,0,0,0
Tajikistan,2020-01-23,0,0,0,0
Tajikistan,2020-01-24,0,0,0,0
Tajikistan,2020-01-25,0,0,0,0
Tajikistan,2020-01-26,0,0,0,0
Tajikistan,2020-01-27,0,0,0,0
Tajikistan,2020-01-28,0,0,0,0
Tajikistan,2020-01-29,0,0,0,0
Tajikistan,2020-01-30,0,0,0,0
Tajikistan,2020-01-31,0,0,0,0
Tajikistan,2020-02-01,0,0,0,0
Tajikistan,2020-02-02,0,0,0,0
Tajikistan,2020-02-03,0,0,0,0
Tajikistan,2020-02-04,0,0,0,0
Tajikistan,2020-02-05,0,0,0,0
