Date,Country,Active cases
2020-01-22,Australia,0
2020-01-23,Australia,0
2020-01-24,Australia,0
2020-01-25,Australia,0
2020-01-26,Australia,4
2020-01-27,Australia,5
2020-01-28,Australia,5
2020-01-29,Australia,6
2020-01-30,Australia,7
2020-01-31,Australia,7
2020-02-01,Australia,10
2020-02-02,Australia,10
2020-02-03,Australia,10
2020-02-04,Australia,11
2020-02-05,Australia,11
2020-02-06,Australia,12
2020-02-07,Australia,13
2020-02-08,Australia,13
2020-02-09,Australia,13
2020-02-10,Australia,13
2020-02-11,Australia,13
2020-02-12,Australia,13
2020-02-13,Australia,7
2020-02-14,Australia,7
2020-02-15,Australia,7
2020-02-16,Australia,7
2020-02-17,Australia,5
2020-02-18,Australia,5
2020-02-19,Australia,5
2020-02-20,Australia,5
2020-02-21,Australia,4
2020-02-22,Australia,4
2020-02-23,Australia,4
2020-02-24,Australia,4
2020-02-25,Australia,4
2020-02-26,Australia,4
2020-02-27,Australia,4
2020-02-28,Australia,4
2020-02-29,Australia,14
2020-03-01,Australia,15
2020-03-02,Australia,18
2020-03-03,Australia,27
2020-03-04,Australia,39
2020-03-05,Australia,32
2020-03-06,Australia,37
2020-03-07,Australia,40
2020-03-08,Australia,52
2020-03-09,Australia,67
2020-03-10,Australia,83
2020-03-11,Australia,104
2020-03-12,Australia,104
2020-03-13,Australia,174
2020-03-14,Australia,224
2020-03-15,Australia,271
2020-03-16,Australia,351
2020-03-17,Australia,424
2020-03-18,Australia,539
2020-03-19,Australia,649
2020-03-20,Australia,758
2020-03-21,Australia,1038
2020-03-22,Australia,1454
2020-03-23,Australia,1587
2020-03-24,Australia,1921
2020-03-25,Australia,2237
2020-03-26,Australia,2625
2020-03-27,Australia,2936
2020-03-28,Australia,3382
2020-03-29,Australia,3724
2020-03-30,Australia,4087
2020-03-31,Australia,4183
2020-04-01,Australia,4420
2020-04-02,Australia,4572
2020-04-03,Australia,4653
2020-04-04,Australia,4819
2020-04-05,Australia,4895
2020-04-06,Australia,4677
2020-04-07,Australia,4770
2020-04-08,Australia,4880
2020-04-09,Australia,4585
2020-04-10,Australia,4368
2020-04-11,Australia,4440
2020-04-12,Australia,4449
2020-04-13,Australia,4484
2020-04-14,Australia,4167
2020-04-15,Australia,4191
2020-04-16,Australia,4044
2020-04-17,Australia,2648
2020-04-18,Australia,2377
2020-04-19,Australia,2419
2020-04-20,Australia,2265
2020-04-21,Australia,1883
2020-04-22,Australia,1653
2020-04-23,Australia,1540
2020-04-24,Australia,1462
2020-04-25,Australia,1238
2020-04-26,Australia,1090
2020-04-27,Australia,1050
2020-04-28,Australia,990
2020-04-29,Australia,946
2020-04-30,Australia,931
2020-05-01,Australia,910
2020-05-02,Australia,891
2020-05-03,Australia,878
2020-05-04,Australia,864
2020-05-05,Australia,803
2020-05-06,Australia,766
2020-05-07,Australia,738
2020-05-08,Australia,699
2020-05-09,Australia,701
2020-05-10,Australia,684
2020-05-11,Australia,660
2020-05-12,Australia,612
2020-05-13,Australia,594
2020-05-14,Australia,587
2020-05-15,Australia,578
2020-05-16,Australia,582
2020-05-17,Australia,563
2020-05-18,Australia,556
2020-05-19,Australia,541
2020-05-20,Australia,511
2020-05-21,Australia,516
2020-05-22,Australia,513
2020-05-23,Australia,504
2020-05-24,Australia,481
2020-05-25,Australia,472
2020-05-26,Australia,476
2020-05-27,Australia,468
2020-05-28,Australia,486
2020-05-29,Australia,476
2020-05-30,Australia,475
2020-05-31,Australia,481
2020-06-01,Australia,493
2020-06-02,Australia,491
2020-06-03,Australia,490
2020-06-04,Australia,462
2020-06-05,Australia,462
2020-06-06,Australia,454
2020-06-07,Australia,457
2020-06-08,Australia,445
2020-06-09,Australia,432
2020-06-10,Australia,424
2020-06-11,Australia,405
2020-06-12,Australia,389
2020-06-13,Australia,380
2020-06-14,Australia,382
2020-06-15,Australia,389
2020-06-16,Australia,407
2020-06-17,Australia,412
2020-06-18,Australia,429
2020-06-19,Australia,428
2020-06-20,Australia,463
2020-06-21,Australia,469
2020-06-22,Australia,475
2020-06-23,Australia,494
2020-06-24,Australia,523
2020-06-25,Australia,533
2020-06-26,Australia,537
2020-06-27,Australia,589
2020-06-28,Australia,653
2020-06-29,Australia,693
2020-06-30,Australia,776
2020-07-01,Australia,807
