Date,Total active cases
2020-01-22,510
2020-01-23,606
2020-01-24,879
2020-01-25,1350
2020-01-26,2005
2020-01-27,2778
2020-01-28,5333
2020-01-29,5897
2020-01-30,7909
2020-01-31,9479
2020-02-01,11482
2020-02-02,15940
2020-02-03,18827
2020-02-04,22541
2020-02-05,25939
2020-02-06,28665
2020-02-07,31588
2020-02-08,33626
2020-02-09,35925
2020-02-10,37649
2020-02-11,38864
2020-02-12,38778
2020-02-13,52532
2020-02-14,57100
2020-02-15,57696
2020-02-16,58229
2020-02-17,58349
2020-02-18,58240
2020-02-19,56780
2020-02-20,55148
2020-02-21,55059
2020-02-22,52617
2020-02-23,52419
2020-02-24,50995
2020-02-25,49090
2020-02-26,47521
2020-02-27,45949
2020-02-28,43839
2020-02-29,42574
2020-03-01,41973
2020-03-02,40962
2020-03-03,40835
2020-03-04,40099
2020-03-05,40180
2020-03-06,41955
2020-03-07,43406
2020-03-08,44755
2020-03-09,46382
2020-03-10,49487
2020-03-11,53811
2020-03-12,58282
2020-03-13,70271
2020-03-14,78665
2020-03-15,85298
2020-03-16,95731
2020-03-17,109368
2020-03-18,125816
2020-03-19,150412
2020-03-20,176619
2020-03-21,203184
2020-03-22,228397
2020-03-23,268223
2020-03-24,297885
2020-03-25,331872
2020-03-26,392968
2020-03-27,446729
2020-03-28,503198
2020-03-29,521299
2020-03-30,597187
2020-03-31,656655
2020-04-01,714793
2020-04-02,775206
2020-04-03,786274
2020-04-04,894964
2020-04-05,951357
2020-04-06,1003677
2020-04-07,978991
2020-04-08,1049816
2020-04-09,1156769
2020-04-10,1221296
2020-04-11,1190887
2020-04-12,1343678
2020-04-13,1285855
2020-04-14,1423345
2020-04-15,1461483
2020-04-16,1521448
2020-04-17,1576639
2020-04-18,1526501
2020-04-19,1670958
2020-04-20,1719030
2020-04-21,1639127
2020-04-22,1795288
2020-04-23,1850361
2020-04-24,1885343
2020-04-25,1938090
2020-04-26,1980017
2020-04-27,2017743
2020-04-28,2054823
2020-04-29,2083039
2020-04-30,1954949
2020-05-01,2146194
2020-05-02,2024520
2020-05-03,2225383
2020-05-04,2101629
2020-05-05,2303615
2020-05-06,2344105
2020-05-07,2390259
2020-05-08,2440166
2020-05-09,2470174
2020-05-10,2509810
2020-05-11,2535738
2020-05-12,2384124
2020-05-13,2601301
2020-05-14,2652480
2020-05-15,2695692
2020-05-16,2725916
2020-05-17,2762148
2020-05-18,2794283
2020-05-19,2832581
2020-05-20,2868534
2020-05-21,2712795
2020-05-22,2909355
2020-05-23,2740817
2020-05-24,2774528
2020-05-25,2792394
2020-05-26,3036229
2020-05-27,3069387
2020-05-28,3114129
2020-05-29,3154997
2020-05-30,2993604
2020-05-31,3021901
2020-06-01,3057089
2020-06-02,3058344
2020-06-03,3317854
2020-06-04,3367821
2020-06-05,3424091
2020-06-06,3470195
2020-06-07,3521740
2020-06-08,3467295
2020-06-09,3500920
2020-06-10,3322872
2020-06-11,3594330
2020-06-12,3389051
2020-06-13,3681443
2020-06-14,3737504
2020-06-15,3543302
2020-06-16,3807930
2020-06-17,3857465
2020-06-18,3909115
2020-06-19,3988111
2020-06-20,4022866
2020-06-21,4078385
2020-06-22,4117548
2020-06-23,4170771
2020-06-24,4216479
2020-06-25,4290609
2020-06-26,4102163
2020-06-27,4431971
2020-06-28,4501136
2020-06-29,4555925
2020-06-30,4605107
2020-07-01,4459289
