,State,Date,Cumulative case count,Cumulative recovered count,Active_cases,New case count
622,VIC,2020-01-25,1,0,1,0
623,VIC,2020-01-29,2,0,2,1
624,VIC,2020-01-30,3,0,3,1
625,VIC,2020-02-01,4,0,4,1
626,VIC,2020-03-01,9,0,9,5
627,VIC,2020-03-04,10,0,10,1
628,VIC,2020-03-07,11,0,11,1
629,VIC,2020-03-08,12,0,12,1
630,VIC,2020-03-09,15,0,15,3
631,VIC,2020-03-10,18,0,18,3
632,VIC,2020-03-11,21,0,21,3
633,VIC,2020-03-12,27,0,27,6
634,VIC,2020-03-13,36,0,36,9
635,VIC,2020-03-14,49,0,49,13
636,VIC,2020-03-15,57,0,57,8
637,VIC,2020-03-16,71,0,71,14
638,VIC,2020-03-17,94,0,94,23
639,VIC,2020-03-18,121,0,121,27
640,VIC,2020-03-19,150,0,150,29
641,VIC,2020-03-20,178,0,178,28
642,VIC,2020-03-21,229,0,229,51
643,VIC,2020-03-22,296,0,296,67
644,VIC,2020-03-23,355,96,259,59
645,VIC,2020-03-24,411,96,315,56
646,VIC,2020-03-25,466,96,370,55
647,VIC,2020-03-26,520,149,371,54
648,VIC,2020-03-27,574,149,425,54
649,VIC,2020-03-28,685,149,536,111
650,VIC,2020-03-29,769,149,620,84
651,VIC,2020-03-30,821,149,672,52
652,VIC,2020-03-30,821,248,573,0
653,VIC,2020-03-31,917,291,626,96
654,VIC,2020-04-01,968,343,625,51
655,VIC,2020-04-02,1036,343,693,68
656,VIC,2020-04-03,1085,343,742,49
657,VIC,2020-04-04,1115,343,772,30
658,VIC,2020-04-05,1135,573,562,20
659,VIC,2020-04-06,1158,620,538,23
660,VIC,2020-04-07,1191,686,505,33
661,VIC,2020-04-08,1212,736,476,21
662,VIC,2020-04-09,1228,806,422,16
663,VIC,2020-04-10,1241,926,315,13
664,VIC,2020-04-11,1265,986,279,24
665,VIC,2020-04-12,1268,1015,253,3
666,VIC,2020-04-13,1281,1075,206,13
667,VIC,2020-04-14,1291,1118,173,10
668,VIC,2020-04-15,1299,1137,162,8
669,VIC,2020-04-16,1301,1137,164,2
670,VIC,2020-04-17,1302,1159,143,1
671,VIC,2020-04-18,1319,1172,147,17
672,VIC,2020-04-19,1319,1172,147,0
673,VIC,2020-04-19,1319,1172,147,0
674,VIC,2020-04-19,1328,1188,140,9
675,VIC,2020-04-20,1329,1196,133,1
676,VIC,2020-04-21,1336,1202,134,7
677,VIC,2020-04-22,1336,1243,93,0
678,VIC,2020-04-23,1337,1251,86,1
679,VIC,2020-04-24,1343,1254,89,6
680,VIC,2020-04-25,1346,1262,84,3
681,VIC,2020-04-26,1349,1265,84,3
682,VIC,2020-04-27,1349,1280,69,0
683,VIC,2020-04-28,1351,1279,72,2
684,VIC,2020-04-29,1354,1287,67,3
685,VIC,2020-04-30,1361,1291,70,7
686,VIC,2020-05-01,1364,1293,71,3
687,VIC,2020-05-02,1371,1300,71,7
688,VIC,2020-05-03,1384,1300,84,13
689,VIC,2020-05-04,1406,1310,96,22
690,VIC,2020-05-05,1423,1311,112,17
691,VIC,2020-05-06,1440,1321,119,17
692,VIC,2020-05-07,1454,1321,133,14
693,VIC,2020-05-08,1467,1321,146,13
694,VIC,2020-05-08,1467,1321,146,0
695,VIC,2020-05-09,1477,1327,150,10
696,VIC,2020-05-10,1487,1327,160,10
697,VIC,2020-05-11,1494,1360,134,7
698,VIC,2020-05-12,1509,1376,133,15
699,VIC,2020-05-13,1514,1385,129,5
700,VIC,2020-05-14,1523,1385,138,9
701,VIC,2020-05-15,1543,1407,136,20
702,VIC,2020-05-16,1554,1417,137,11
703,VIC,2020-05-17,1567,1417,150,13
704,VIC,2020-05-18,1567,1439,128,0
705,VIC,2020-05-19,1573,1454,119,6
706,VIC,2020-05-20,1580,1465,115,7
707,VIC,2020-05-21,1581,1473,108,1
708,VIC,2020-05-22,1593,1479,114,12
709,VIC,2020-05-23,1602,1484,118,9
710,VIC,2020-05-24,1603,1484,119,1
711,VIC,2020-05-25,1605,1520,85,2
712,VIC,2020-05-26,1610,1533,77,5
713,VIC,2020-05-27,1618,1539,79,8
714,VIC,2020-05-28,1628,1544,84,10
715,VIC,2020-05-29,1634,1549,85,6
716,VIC,2020-05-30,1645,1553,92,11
717,VIC,2020-05-31,1649,1557,92,4
718,VIC,2020-06-01,1653,1560,93,4
719,VIC,2020-06-02,1663,1560,103,10
720,VIC,2020-06-04,1678,1584,94,15
721,VIC,2020-06-05,1681,1586,95,3
722,VIC,2020-06-06,1681,1589,92,0
723,VIC,2020-06-07,1685,1593,92,4
724,VIC,2020-06-08,1687,1595,92,2
725,VIC,2020-06-09,1687,1602,85,0
726,VIC,2020-06-10,1691,1616,75,4
727,VIC,2020-06-11,1699,1621,78,8
728,VIC,2020-06-12,1703,1632,71,4
729,VIC,2020-06-13,1711,1641,70,8
730,VIC,2020-06-14,1720,1657,63,9
731,VIC,2020-06-15,1732,1661,71,12
732,VIC,2020-06-16,1741,1664,77,9
733,VIC,2020-06-17,1762,1671,91,21
734,VIC,2020-06-18,1780,1678,102,18
735,VIC,2020-06-19,1792,1680,112,12
736,VIC,2020-06-20,1817,1686,131,25
737,VIC,2020-06-21,1836,1694,142,19
738,VIC,2020-06-22,1847,1701,146,11
739,VIC,2020-06-23,1864,1712,152,17
740,VIC,2020-06-24,1884,1721,163,20
741,VIC,2020-06-25,1917,1732,185,33
742,VIC,2020-06-26,1947,1742,205,30
743,VIC,2020-06-27,1987,1761,226,40
744,VIC,2020-06-28,2028,1775,253,41
745,VIC,2020-06-29,2099,1789,310,71
746,VIC,2020-06-30,2159,1816,343,60
747,VIC,2020-07-01,2231,1839,392,72
748,VIC,2020-07-02,2303,1866,437,72
749,VIC,2020-07-03,2368,1904,464,65
